ID,CID
0,81
918,2042
594,871
162,139
936,2043
576,870
1170,2123
954,2044
558,868
540,867
54,84
792,884
972,2045
522,866
990,2046
504,503
486,502
1008,2112
612,872
468,501
72,85
630,875
774,883
810,885
756,882
828,886
738,881
720,880
846,887
126,137
90,86
702,879
864,2039
684,878
666,877
882,2040
648,876
144,138
900,2041
1188,2124
198,366
180,144
108,87
234,368
342,374
18,82
1026,2115
360,376
1098,2119
1134,2121
378,496
306,372
1080,2118
288,371
324,373
216,367
396,497
1062,2117
1152,2122
1206,2125
450,500
252,369
36,83
432,499
270,370
1116,2120
1044,2116
414,498
703,879
289,371
757,882
721,880
1207,2125
739,881
307,372
271,370
235,368
775,883
667,877
109,87
253,369
685,878
199,366
325,373
469,501
451,500
487,502
433,499
505,503
181,144
415,498
523,866
397,497
541,867
559,868
217,367
577,870
163,139
379,496
1189,2124
361,376
595,871
613,872
631,875
145,138
649,876
343,374
127,137
973,2045
847,887
865,2039
1081,2118
883,2040
1045,2116
37,83
901,2041
19,82
1027,2115
1009,2112
919,2042
991,2046
1171,2123
937,2043
55,84
955,2044
73,85
1099,2119
1063,2117
793,884
1117,2120
1153,2122
1135,2121
1,81
811,885
829,886
91,86
326,373
1010,2112
470,501
992,2046
272,370
506,503
1154,2122
2,81
974,2045
1208,2125
182,144
776,883
524,866
56,84
488,502
452,500
38,83
200,366
1100,2119
344,374
20,82
362,376
1082,2118
1118,2120
236,368
380,496
1136,2121
218,367
956,2044
398,497
308,372
1046,2116
416,498
1028,2115
434,499
290,371
1064,2117
542,867
254,369
686,878
146,138
722,880
884,2040
632,875
902,2041
74,85
92,86
650,876
614,872
128,137
740,881
596,871
704,879
830,886
848,887
920,2042
110,87
794,884
560,868
668,877
1190,2124
1172,2123
938,2043
866,2039
758,882
578,870
812,885
164,139
327,373
687,878
345,374
705,879
1191,2124
831,886
309,372
723,880
1083,2118
813,885
291,371
741,881
1137,2121
273,370
759,882
1155,2122
795,884
1101,2119
1119,2120
651,876
849,887
939,2043
525,866
561,868
957,2044
507,503
921,2042
975,2045
489,502
993,2046
471,501
597,871
903,2041
453,500
363,376
1011,2112
435,499
633,875
1029,2115
417,498
1173,2123
885,2040
399,497
1047,2116
543,867
381,496
867,2039
1065,2117
669,877
615,872
777,883
579,870
111,87
129,137
183,144
147,138
75,85
39,83
21,82
219,367
165,139
57,84
201,366
237,368
3,81
93,86
1209,2125
255,369
706,879
688,878
130,137
670,877
760,882
742,881
328,373
112,87
778,883
796,884
814,885
94,86
832,886
724,880
346,374
616,872
634,875
418,498
436,499
202,366
454,500
472,501
382,496
1210,2125
220,367
490,502
652,876
184,144
526,866
1192,2124
544,867
562,868
364,376
166,139
580,870
598,871
148,138
508,503
850,887
256,369
400,497
1048,2116
1012,2112
274,370
1066,2117
994,2046
976,2045
958,2044
22,82
58,84
292,371
1084,2118
40,83
1102,2119
922,2042
1120,2120
940,2043
1030,2115
904,2041
4,81
1174,2123
868,2039
886,2040
1156,2122
310,372
1138,2121
76,85
238,368
545,867
1049,2116
1067,2117
527,866
419,498
1031,2115
563,868
1193,2124
455,500
509,503
437,499
185,144
491,502
5,81
1085,2118
1139,2121
1211,2125
1103,2119
473,501
1121,2120
203,366
23,82
851,887
1157,2122
833,886
869,2039
95,86
815,885
797,884
779,883
887,2040
77,85
401,497
761,882
905,2041
113,87
743,881
725,880
923,2042
941,2043
59,84
1013,2112
581,870
599,871
1175,2123
617,872
149,138
167,139
995,2046
635,875
959,2044
653,876
671,877
689,878
131,137
977,2045
41,83
707,879
383,496
257,369
329,373
347,374
311,372
239,368
275,370
221,367
293,371
365,376
600,871
780,883
1194,2124
762,882
186,144
330,373
1032,2115
798,884
1158,2122
474,501
114,87
384,496
96,86
834,886
1014,2112
1176,2123
1140,2121
42,83
312,372
816,885
510,503
1122,2120
276,370
582,870
618,872
1086,2118
150,138
348,374
564,868
222,367
168,139
636,875
24,82
654,876
546,867
366,376
672,877
1068,2117
132,137
690,878
708,879
528,866
1050,2116
726,880
1212,2125
852,887
744,881
456,500
492,502
1104,2119
942,2043
924,2042
438,499
6,81
258,369
420,498
978,2045
60,84
888,2040
960,2044
996,2046
294,371
402,497
870,2039
240,368
78,85
906,2041
204,366
1123,2120
673,877
925,2042
385,496
295,371
133,137
691,878
1159,2122
61,84
709,879
1051,2116
421,498
727,880
529,866
547,867
943,2043
601,871
583,870
1105,2119
1213,2125
961,2044
223,367
619,872
1087,2118
151,138
367,376
403,497
565,868
241,368
169,139
637,875
259,369
25,82
979,2045
655,876
1069,2117
349,374
745,881
457,500
889,2040
781,883
7,81
493,502
835,886
277,370
439,499
1177,2123
871,2039
1195,2124
79,85
997,2046
475,501
817,885
97,86
799,884
1033,2115
1015,2112
43,83
853,887
115,87
511,503
907,2041
1141,2121
205,366
331,373
763,882
313,372
187,144
44,83
854,887
620,872
152,138
998,2046
242,368
80,85
872,2039
350,374
314,372
836,886
602,871
1088,2118
962,2044
116,87
656,876
638,875
296,371
332,373
908,2041
926,2042
980,2045
62,84
764,882
1052,2116
710,879
1034,2115
692,878
1016,2112
890,2040
134,137
674,877
278,370
800,884
1178,2123
1070,2117
746,881
98,86
944,2043
1214,2125
818,885
782,883
728,880
26,82
458,500
422,498
440,499
1124,2120
170,139
566,868
494,502
548,867
260,369
1160,2122
224,367
476,501
386,496
1142,2121
368,376
512,503
530,866
404,497
8,81
1196,2124
584,870
188,144
1106,2119
206,366
423,498
279,370
63,84
891,2040
1161,2122
909,2041
657,876
729,880
99,86
495,502
531,866
1071,2117
549,867
1215,2125
801,884
783,883
27,82
135,137
1053,2116
297,371
855,887
189,144
927,2042
981,2045
765,882
693,878
711,879
675,877
45,83
459,500
369,376
387,496
207,366
9,81
441,499
81,85
477,501
225,367
153,138
999,2046
1107,2119
1089,2118
513,503
315,372
1143,2121
1125,2120
603,871
585,870
405,497
243,368
963,2044
873,2039
837,886
621,872
747,881
1179,2123
1017,2112
819,885
1197,2124
117,87
639,875
333,373
171,139
351,374
1035,2115
567,868
261,369
945,2043
784,883
874,2039
370,376
532,866
1144,2121
118,87
1126,2120
748,881
1180,2123
712,879
838,886
1036,2115
46,83
892,2040
730,880
334,373
1216,2125
1054,2116
496,502
388,496
1000,2046
82,85
514,503
442,499
766,882
1198,2124
658,876
550,867
316,372
1018,2112
64,84
226,367
298,371
460,500
10,81
208,366
820,885
640,875
172,139
568,868
352,374
946,2043
154,138
478,501
1090,2118
622,872
424,498
982,2045
280,370
586,870
28,82
910,2041
694,878
964,2044
856,887
1072,2117
1162,2122
190,144
244,368
676,877
928,2042
604,871
262,369
406,497
136,137
100,86
802,884
